time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,13,6,0,0
2026-04-15 00:00:00+00:00,12,5,0,0
2026-04-16 00:00:00+00:00,26,8,0,0
2026-04-17 00:00:00+00:00,34,9,0,0
2026-04-18 00:00:00+00:00,8,5,0,0
2026-04-19 00:00:00+00:00,32,8,0,0
2026-04-20 00:00:00+00:00,34,9,1,1
2026-04-21 00:00:00+00:00,27,13,0,0
2026-04-22 00:00:00+00:00,62,22,0,0
2026-04-23 00:00:00+00:00,79,25,0,0
2026-04-24 00:00:00+00:00,57,20,0,0
2026-04-25 00:00:00+00:00,58,26,0,0
2026-04-26 00:00:00+00:00,49,10,0,0
2026-04-27 00:00:00+00:00,27,9,0,0
